Product_ID|Product_Name|Product_line|News|Type|Pixel|Pixel_Pitch|Viewing|Overall|Driving|Built|Backlight_30|Backlight_El|Contrast|Product_Price|Product_SH|PDF|Sort
28|AND1743MST-LED|AND Displays|Y|STN, FSTN, BST|240 x 64|0.50 x 0.50|132 x 76|170 x 95 x 14|+5|T6963C|6:1|LED||||AND1743MST-LED.pdf|13
21|AND1264WGST-LED|AND Displays|Y|STN, FSTN, BST|128 x 64|0.52 x 0.52|72.0 x 40.0|87 x 70 x 12.7|+5|T6963C|LED||7:1|call|10|AND1264WGST-LED.pdf|2
29|AND1742MST2|AND Displays|N|STN, FSTN, BST|240 x 128|0.51 x 0.51|134 x 76|180 x 110 x 15.1|+5|RAIO|6:1|CCFL||||AND1742MST2.pdf|15
23|AND3222MST2-LEDW|AND Displays|Y|STN, FSTN, BST|320 x 240|0.36 X 0.36|120.14 x 92.14|148 x 120 x 20.5|+5|SID1335|LED||6:1|120|10|AND3222MST-LEDW.pdf|17
26|AND1781BST-LED|AND Displays|Y|STN, FSTN, BST|240 x 64|0.53 x 0.53|130 x 40.4|180 x 65 x 9.7|+5|T6963C|12:1|LED||177|10|AND1781BST-LED.pdf|8
48|AND1743BST-LED|AND Displays|Y|STN, FSTN, BST|240 x 128|0.50 x 0.50|132 x 76|170.0 x 95.0 x 14.0|+5|T6963C|6:1|LED||||AND1743BST-LED.pdf|12
8|AND1391ST|AND Displays|N|STN, FSTN, BST|128 x 128|0.43 x 0.43|62 x 62|84.4 x 100 x 14|+5/-14.5|T6963C|-|-|4:1|109|10|AND1391ST.pdf|3
32|AND005016A-OLED|AND Displays|Y||50 x 16|0.70 x 0.60|38.0 x 16.0|58.0 x 32.0 x 10|5V, option 3V|WS0010||OLED|||||24
33|AND010008A-OLED|AND Displays|Y||100 x 8|0.80 x 0.60|66.0 x 16.0|80.0 x 36.0 x 10.0|5V, option 3V|WS0010|||OLED||||25
11|AND711AST-EO|AND Displays|N|STN, FSTN, BST|240 x 64|0.53 x 0.53|132 x 39|180 x 65 x 12|+5/-8.5|T6963C|-|EL|4:1|117|10|AND711.pdf|6
12|AND711AST-30|AND Displays|N|STN, FSTN, BST|240 x 64|0.53 x 0.53|132 x 39|180 x 65 x 12|+5/-8.5|T6963C|-|-|4:1|97|10|AND711.pdf|5
13|AND1781BST|AND Displays|N|STN, FSTN, BST|240 x 64|0.53 x 0.53|127.2 x 33.9|180 x 70 x 14|+5/-12.2|T6963C|CCFL|CCFL|6:1|155|10|AND1781.pdf|7
14|AND1781MST-LED|AND Displays|Y|STN, FSTN, BST|240 x 64|0.53 x 0.53|134 x 40.4|180 x 65 x 9.7|+5|T6963C|LED|LED|12:1|177|10|AND1781MST-LED.pdf|10
30|AND1013ST-EO2|AND Displays|Y|STN, FSTN, BST|160 x 128|0.6 x 0.6|101.0 x 82.0|129.0 x 104.5 x 14.0|5|T6963C|4:1|-|EL|||AND1013ST-EO2.pdf|4
34|AND010016B-OLED|AND Displays|Y||100 x 16|1.12 x 0.96|99.0 x 24.0|122.0 x 44.0 x 10.0|5V, option 3V|WS0010|||OLED||||26
25|AND1743FST-LED|AND Displays|Y|STN, FSTN, BST|240 x 128|0.50 x 0.50|132.0 x 76.0|170.0 x 95.0 x 14.0|5|T6963C||LED|6:1|114|10|AND1743FST-LED.pdf|14
37|AND005016A-OLED|AND Displays|Y|OLED|50 x 16|0.70 x 0.60|38.0 x 16.0|58.0 x 32.0 x 10.0|5V, option 3V|WS0010|||OLED||||18
19|AND3222MST2|AND Displays|Y|STN, FSTN, BST|320 X 240|0.36 X 0.36|120 X 92|148 X 120 X 20.5|+5/-22.0|SED1330|CCFL|CCFL|6:1|187|10|AND3222MST2.pdf|16
38|AND010008A-OLED|AND Displays|Y|OLED|100 x 8|0.80 x 0.60|66.0 x 16.0|80.0 x 36.0 x 10.0|5V, option 3V|WS0010|||OLED||||19
39|AND010016B-OLED|AND Displays|Y|OLED|100 x 16|1.12 x 0.96|99.0 x 24.0|122.0 x 44.0 x 10.0|5V, option 3V|WS0010|||OLED||||20
40|AND010016D-OLED|AND Displays|Y|OLED|100 x 16|0.70 x 0.60|66.0 x 16.0|85.0 x 30.0 x 10.0|5V, option 3V|WS0010|||OLED||||21
41|AND010016A-OLED|AND Displays|Y|OLED|100 x 16|0.70 x 0.60|66.0 x 16.0|80.0 x 36.0 x 10.0|5V, option 3V|WS0010|||OLED||||22
42|AND010016F-OLED|AND Displays|Y|OLED|100 x 16|0.70 x 0.65|85.0 x 18.60|116.0 x 37.0 x 9.8|5V, option 3V|WS0010|||OLED||||1
43|AND010032A-OLED|AND Displays|Y|OLED|100 x 32|0.60 x 0.59|77.0 x 25.2|98.0 x 60.0 x 10.0|5V, option 3V|WS0010|||OLED||||23
46|AND1781STN-LED|AND Displays|Y|STN, FSTN, BST|160 x 128|0.53 x 0.53|134 x 40.4|180 x 65 x 9.7|5|T6963C|5||LED|||AND1781STN-LED.pdf|11
47|AND1781FST-LED|AND Displays|Y|STN, FSTN, BST|240 x 64|0.53 x 0.53|133.0 x 39.0|180 x 65 x 12.3|5|T6963C|5||LED|||AND1781FST-LED.pdf|9