Product_ID|Product_Name|Product_line|News|Type|Screen|Pixel|Brightness|Pixel_Pitch|Active|Overall|Driving|Input_Signal|Product_Price|Product_SH|PDF|Sort
62|AND-TFT-43LP|AND Displays|Y|TFT Monitor|4.3|480 x 272|500|0.198 x 0.198|95.04 x 53.856|105.5 x 67.2 x 2.9|12.0|VGA, NTSC, PAL|||AND-TFT-43LP.pdf|8
43|PC-TFT-25XS|AND Displays|Y|TFT Monitor Interface Board|2.5|160 x 234|250|0.1025 x 0.163|49.68 x 37.44|60.6 x 48.4 x 3.45|12.0|NTSC, PAL|42|10|PC-TFT-25XS.pdf|21
61|AND-TFT-7LP|AND Displays|Y|TFT Monitor|7.0|800 x 480|250|0.1905 x 0.1905|152.4 x 91.44|165 x 104 x 6.2|12.0|NTSC/PAL|||AND-TFT-7LP.pdf|18
63|AND-TFT-56LP|AND Displays|Y|TFT Monitor|5.6|640 x 480|350|0.1764 x 0.1764|112.896 x 84.672|126.5 x 100 x 5.7|12|VGA, NTSC, PAL|||AND-TFT-56LP.pdf|15
64|AND-TFT_8LP|AND Displays|Y|TFT Monitor|8|800 x 480|450|0.2208 x 0.2070|176.64 x 99.36|192.8 x 116.9 x 6.4|12.0|VGA, NTSC, PAL|||AND-TFT-8LP-.pdf|19
6|AND-TFT-5PA|AND Displays|N|TFT Monitor|5.0|320 x 234|400|0.107 x 0.319|102.7 x 74.5|127 x 93 x 13|12.0*|NTSC/PAL|113|10|AND-TFT-5PA.PDF|11
7|AND-TFT-5PA-DHB|AND Displays|N|TFT Monitor|5.0|320 x 234|500|0.32 x 0.32|102.7 x 74.5|127 x 93 x 13|12.0*|NTSC/PAL|246|10|AND-TFT-5PA.pdf|12
65|AND-TFT-5LP|AND Displays|Y|TFT Monitor|5.0|640 x 480|200|0.1587 x 0.1587|101.6 x 76.2|132.7 x 90.2 x 23.1|12.0*|NTSC/PAL/SECAM|||AND-TFT-5LP.pdf|10
36|AND-TFT-5VX-4HB|AND Displays|Y|TFT Monitor|5.0|640 x 480|1,000|0.156 x 0.159|74.88 x 101.76|91.4 x 119.3 x 7.9|12.0|VGA, NTSC, PAL|392|10|AND-TFT-5VX-4HB.pdf|14
10|AND-TFT-64PA|AND Displays|N|TFT Monitor|6.4|320 x 234|330|0.135 x 0.416|129.6 x 97.3|156.3 x 120 x 14.3|12.0*|NTSC/PAL|172|10|AND-TFT-64PA.pdf|16
11|AND-TFT-64PA-DHB|AND Displays|N|TFT Monitor|6.4|320 x 234|500|0.135 x 0.416|129.6 x 97.3|156.3 x 120 x 14.3|12.0*|NTSC/PAL|266|10|AND-TFT-64PA-DHB.pdf|17
37|PC-TFT-5VX|AND Displays|Y|TFT Monitor Interface Board|5.0|640 x 480|400|0.156 x 0.159|74.88 x 101.76|91.4 x 119.3 x 7.9|12.0|VGA, NTSC, PAL|68|10|PC-TFT-5VX.pdf|26
59|AND-TFT-35VX-UHB-LED|AND Displays|Y|TFT Monitor|3.5|640 x 480|1,300 or 50+/-|0.1125 x 0.1095|72.0 x 52.56|84.25 x 65.4 x 3.45|5.0|VGA, NTSC, PAL|199|10|AND-TFT-35VX-UHB-LED.pdf|5
60|PC-TFT-050VL-LED|AND Displays|Y|TFT Monitor Interface Board|5.0|640 x 480|450|0.159 x 0.156|101.76 x 74.88|120.7 x 92.8 x 12.5|12.0|VGA, NTSC, PAL|$88|$10|PC-TFT-050VL-LED.pdf|25
66|AND-TFT-5LA|AND Displays|Y|TFT Monitor|5.0|640 x 480|260|0.135 x 0.135|108 x 64.8|120.7 x 75.75 x 3.1|3.3|NTSC/PAL/SECAM|||AND-TFT-5LA.pdf|9
16|PC-TFT-5PA|AND Displays|N|TFT Monitor Interface Board|5.0|320 x 234|400|0.107 x 0.319|102.7 x 74.5|127 x 93 x 13|12.0*|NTSC/PAL|51|10|PC-TFT-5PA.pdf|24
31|AND-TFT-35VX|AND Displays|N|TFT Monitor|3.5|640 x 480|210|0.1125 x 0.1095|72 x 52.56|84.25 x 65.40 x 3.45|5.0| VGA, NTSC, PAL|124|10|AND-TFT-35VX.pdf|6
18|PC-TFT-64PA|AND Displays|N|TFT Monitor Interface Board|6.4|320 x 234|330|0.135 x 0.416|129.6 x 97.3|156.3 x 120 x 14.3|12.0*|NTSC/PAL|51|10|PC-TFT-64PA.pdf|27
39|AND-TFT-35XS-LED|AND Displays|Y|TFT Monitor|3.5|320 x 234|250|0.074 x 0.225|71.6 x 52.65|83.5 x 63.1 x 3.6|12.0|NTSC, PAL|62|10|AND-TFT-35XS-LED.pdf|7
32|AND-TFT-5VX|AND Displays|N|TFT Monitor|5.0|640 x 480|400|0.156 x 0.159|74.88 x 101.76|91.4 x 119.3 x 7.9|12.0|VGA, NTSC, PAL|224|10|AND-TFT-5VX.pdf|13
33|PC-TFT-35VX|AND Displays|N|TFT Monitor Interface Board|3.5|640 x 480|210|0.1125 x 0.1095|72 x 52.56|84.25 x 65.40 x 3.45|5.0|VGA, NTSC, PAL|84|10|PC-TFT-35VX.pdf|22
40|PC-TFT-35XS|AND Displays|Y|TFT Monitor Interface Board|3.5|320 x 234|250|0.074 x 0.225|71.6 x 52.65|83.5 x 63.1 x 3.6|12.0|NTSC, PAL|47|10|PC-TFT-35XS.pdf|23
41|ANDpSi020TD-LED|AND Displays|Y|TFT Monitor|2.0|320 x 240|250|0.053 x x0.159|40.672 x 30.48|46.1 x 40.96 x 2.53|12.0|NTSC, PAL|47|10|ANDpSi020TD-LED.pdf|1
42|PC-TFT-20TD|AND Displays|Y|TFT Monitor Interface Board|2.0|320 x 240|250|0.053 x 0.159|40.672 x 30.48|46.1 x 40.96 x 2.53|12.0|NTSC, PAL|49|10|PC-TFT-20TD.pdf|20
44|AND-TFT-25XS-LED|AND Displays|Y|TFT Monitor|2.5|160 x 234|250|0.1025 x 0.163|49.68 x 37.44|60.6 x 48.4 x 3.45|12.0|NTSC, PAL|45|10|AND-TFT-25XS-LED.pdf|2