Product_ID|Product_Name|Product_Line|Product_Type|News|Fan_Compat|Construction|Product_Price|Product_SH|Description|PDF|Sort
1|5514|Interfan|Metal Finger guards|N|40 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|1
2|5516|Interfan|Metal Finger guards|N|60 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|2
3|5508|Interfan|Metal Finger guards|N|80 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|3
4|5520|Interfan|Metal Finger guards|N|92 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|4
5|5504|Interfan|Metal Finger guards|N|120 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|5
6|5506|Interfan|Metal Finger guards|N|162 mm|Nickel chrome plated wire guards, spot welded|0|0||Finger_Guards.pdf|6
7|60FGM|Interfan|Metal Filter guards|N|60 mm|Metal mesh filter|0|0||Filter_Guards.pdf|7
8|80FGM|Interfan|Metal Filter guards|N|80 mm|Metal mesh filter|0|0||Filter_Guards.pdf|8
9|92FGM|Interfan|Metal Filter guards|N|92 mm|Metal mesh filter|0|0||Filter_Guards.pdf|9
10|120FGM|Interfan|Metal Filter guards|N|120 mm|Metal mesh filter|0|0||Filter_Guards.pdf|10
11|162FGM|Interfan|Metal Filter guards|N|162 mm|Metal mesh filter|0|0||Filter_Guards.pdf|11
12|40FP-45|Interfan|Plastic Filter Guards|N|40 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|12
13|60FP-45|Interfan|Plastic Filter Guards|N|60 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|13
14|80FP-45|Interfan|Plastic Filter Guards|N|80 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|14
15|92FP-45|Interfan|Plastic Filter Guards|N|92 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|15
16|120FP-45|Interfan|Plastic Filter Guards|N|120 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|16
17|162FP-45|Interfan|Plastic Filter Guards|N|162 mm|Plastic filter and finger guard assembly (45PPI foam filter media)|0|0||Plastic_Filter_Guards.pdf|17
18|5505|Interfan|Power Cords|N|-|"24"" (straight) plug and cord for terminal block; blunt cut ends"|0|0||Cords.pdf|18
19|5505-45D|Interfan|Power Cords|N|-|"24"" (45"") plug and cord for terminal block; blunt cut ends"|0|0||Cords.pdf|19